aia_name,aia_code,aia_rulesetversion,aia_priority,aia_conditionjson,aia_effectsjson,aia_legalreference,aia_effectivefrom,aia_effectiveuntil,aia_active
PROHIBITED_5_1_E,PROHIBITED_5_1_E,EU_AI_ACT_2026_07_27_V0_1,900,"{""path"":""answers.Q004"",""op"":""contains"",""value"":""P05_FACE_SCRAPING""}","[{""type"":""add_prohibited"",""code"":""P05_FACE_SCRAPING"",""title"":""Scraping indiscriminado para reconocimiento facial"",""legal_reference"":""Articulo 5.1(e)"",""effective_from"":""2025-02-02""}]",Articulo 5.1(e),2025-02-02,,true
PROHIBITED_5_1_F,PROHIBITED_5_1_F,EU_AI_ACT_2026_07_27_V0_1,900,"{""all"":[{""path"":""answers.Q004"",""op"":""contains"",""value"":""P06_EMOTION_WORK_EDU""},{""path"":""answers.Q005"",""op"":""not_contains"",""value"":""EX_P06_MEDICAL_SAFETY""}]}","[{""type"":""add_prohibited"",""code"":""P06_EMOTION_WORK_EDU"",""title"":""Inferencia de emociones en trabajo o educacion"",""legal_reference"":""Articulo 5.1(f)"",""effective_from"":""2025-02-02""}]",Articulo 5.1(f),2025-02-02,,true
PROHIBITED_5_1_G,PROHIBITED_5_1_G,EU_AI_ACT_2026_07_27_V0_1,900,"{""path"":""answers.Q004"",""op"":""contains"",""value"":""P07_SENSITIVE_BIOMETRIC""}","[{""type"":""add_prohibited"",""code"":""P07_SENSITIVE_BIOMETRIC"",""title"":""Categorizacion biometrica por atributos sensibles"",""legal_reference"":""Articulo 5.1(g)"",""effective_from"":""2025-02-02""}]",Articulo 5.1(g),2025-02-02,,true
PROHIBITED_5_1_H,PROHIBITED_5_1_H,EU_AI_ACT_2026_07_27_V0_1,900,"{""all"":[{""path"":""answers.Q004"",""op"":""contains"",""value"":""P08_REALTIME_RBI""},{""path"":""answers.Q005"",""op"":""not_contains"",""value"":""EX_P08_STRICT_LAW_ENFORCEMENT""}]}","[{""type"":""add_prohibited"",""code"":""P08_REALTIME_RBI"",""title"":""Identificacion biometrica remota en tiempo real no exceptuada"",""legal_reference"":""Articulo 5.1(h)"",""effective_from"":""2025-02-02""}]",Articulo 5.1(h),2025-02-02,,true
HIGH_RISK_6_1,HIGH_RISK_6_1,EU_AI_ACT_2026_07_27_V0_1,800,"{""all"":[{""path"":""answers.Q006"",""op"":""equals"",""value"":true},{""path"":""answers.Q007"",""op"":""equals"",""value"":true}]}","[{""type"":""set_classification"",""status"":""HIGH_RISK"",""basis"":""ARTICLE_6_1_ANNEX_I"",""effective_from"":""2028-08-02""}]",Articulo 6.1 y Anexo I,2028-08-02,,true
HIGH_RISK_6_2_PROFILING,HIGH_RISK_6_2_PROFILING,EU_AI_ACT_2026_07_27_V0_1,790,"{""all"":[{""path"":""answers.Q009"",""op"":""not_equals"",""value"":""NONE""},{""path"":""answers.Q009"",""op"":""exists"",""value"":true},{""path"":""answers.Q010"",""op"":""equals"",""value"":true}]}","[{""type"":""set_classification"",""status"":""HIGH_RISK"",""basis"":""ARTICLE_6_2_ANNEX_III"",""area_from"":""answers.Q008"",""use_case_from"":""answers.Q009"",""effective_from"":""2027-12-02""}]","Articulo 6.2, 6.3 y Anexo III",2027-12-02,,true
HIGH_RISK_6_2_SIGNIFICANT,HIGH_RISK_6_2_SIGNIFICANT,EU_AI_ACT_2026_07_27_V0_1,780,"{""all"":[{""path"":""answers.Q009"",""op"":""not_equals"",""value"":""NONE""},{""path"":""answers.Q009"",""op"":""exists"",""value"":true},{""path"":""answers.Q010"",""op"":""equals"",""value"":false},{""path"":""answers.Q011"",""op"":""equals"",""value"":true}]}","[{""type"":""set_classification"",""status"":""HIGH_RISK"",""basis"":""ARTICLE_6_2_ANNEX_III"",""area_from"":""answers.Q008"",""use_case_from"":""answers.Q009"",""effective_from"":""2027-12-02""}]","Articulo 6.2, 6.3 y Anexo III",2027-12-02,,true
HIGH_RISK_6_2_NO_EXCEPTION,HIGH_RISK_6_2_NO_EXCEPTION,EU_AI_ACT_2026_07_27_V0_1,770,"{""all"":[{""path"":""answers.Q009"",""op"":""not_equals"",""value"":""NONE""},{""path"":""answers.Q009"",""op"":""exists"",""value"":true},{""path"":""answers.Q010"",""op"":""equals"",""value"":false},{""path"":""answers.Q011"",""op"":""equals"",""value"":false},{""path"":""answers.Q012"",""op"":""equals"",""value"":""NONE""}]}","[{""type"":""set_classification"",""status"":""HIGH_RISK"",""basis"":""ARTICLE_6_2_ANNEX_III"",""area_from"":""answers.Q008"",""use_case_from"":""answers.Q009"",""effective_from"":""2027-12-02""}]","Articulo 6.2, 6.3 y Anexo III",2027-12-02,,true
NOT_HIGH_RISK_6_3,NOT_HIGH_RISK_6_3,EU_AI_ACT_2026_07_27_V0_1,760,"{""all"":[{""path"":""answers.Q009"",""op"":""not_equals"",""value"":""NONE""},{""path"":""answers.Q009"",""op"":""exists"",""value"":true},{""path"":""answers.Q010"",""op"":""equals"",""value"":false},{""path"":""answers.Q011"",""op"":""equals"",""value"":false},{""path"":""answers.Q012"",""op"":""in"",""value"":[""NARROW_PROCEDURAL"",""IMPROVE_COMPLETED_HUMAN"",""PATTERN_NO_REPLACEMENT"",""PREPARATORY_TASK""]}]}","[{""type"":""set_classification"",""status"":""NOT_HIGH_RISK"",""basis"":""ARTICLE_6_3_EXCEPTION"",""area_from"":""answers.Q008"",""use_case_from"":""answers.Q009"",""effective_from"":""2027-12-02""}]","Articulos 6.3, 6.4 y 49.2",2027-12-02,,true
TRANSPARENCY_50_1,TRANSPARENCY_50_1,EU_AI_ACT_2026_07_27_V0_1,500,"{""path"":""answers.Q013"",""op"":""equals"",""value"":""DIRECT_NOT_OBVIOUS""}","[{""type"":""add_transparency"",""code"":""ART_50_1"",""title"":""Informar de la interaccion con un sistema de IA"",""legal_reference"":""Articulo 50.1"",""effective_from"":""2026-08-02""}]",Articulo 50.1,2026-08-02,,true
TRANSPARENCY_50_2_CURRENT,TRANSPARENCY_50_2_CURRENT,EU_AI_ACT_2026_07_27_V0_1,500,"{""all"":[{""path"":""answers.Q014"",""op"":""contains_any"",""value"":[""SYNTHETIC_TEXT"",""SYNTHETIC_IMAGE"",""SYNTHETIC_AUDIO"",""SYNTHETIC_VIDEO""]},{""path"":""answers.Q014"",""op"":""not_contains"",""value"":""EX_ASSISTIVE_EDITING""},{""path"":""answers.Q014"",""op"":""not_contains"",""value"":""EX_AUTHORISED_LAW_ENFORCEMENT""},{""any"":[{""path"":""metadata.first_placed_on_market"",""op"":""is_null"",""value"":true},{""path"":""metadata.first_placed_on_market"",""op"":""on_or_after"",""value"":""2026-08-02""}]}]}","[{""type"":""add_transparency"",""code"":""ART_50_2"",""title"":""Marcar el contenido sintetico en formato detectable por maquinas"",""legal_reference"":""Articulo 50.2"",""effective_from"":""2026-08-02""}]",Articulo 50.2,2026-08-02,,true
TRANSPARENCY_50_2_PREEXISTING,TRANSPARENCY_50_2_PREEXISTING,EU_AI_ACT_2026_07_27_V0_1,500,"{""all"":[{""path"":""answers.Q014"",""op"":""contains_any"",""value"":[""SYNTHETIC_TEXT"",""SYNTHETIC_IMAGE"",""SYNTHETIC_AUDIO"",""SYNTHETIC_VIDEO""]},{""path"":""answers.Q014"",""op"":""not_contains"",""value"":""EX_ASSISTIVE_EDITING""},{""path"":""answers.Q014"",""op"":""not_contains"",""value"":""EX_AUTHORISED_LAW_ENFORCEMENT""},{""path"":""metadata.first_placed_on_market"",""op"":""before"",""value"":""2026-08-02""}]}","[{""type"":""add_transparency"",""code"":""ART_50_2"",""title"":""Marcar el contenido sintetico en formato detectable por maquinas"",""legal_reference"":""Articulos 50.2 y 111.4"",""effective_from"":""2026-12-02""}]",Articulos 50.2 y 111.4,2026-12-02,,true
TRANSPARENCY_50_3,TRANSPARENCY_50_3,EU_AI_ACT_2026_07_27_V0_1,500,"{""all"":[{""path"":""answers.Q015"",""op"":""contains_any"",""value"":[""EMOTION_RECOGNITION"",""BIOMETRIC_CATEGORISATION""]},{""path"":""answers.Q015"",""op"":""not_contains"",""value"":""EX_AUTHORISED_LAW_ENFORCEMENT""}]}","[{""type"":""add_transparency"",""code"":""ART_50_3"",""title"":""Informar a las personas expuestas a reconocimiento emocional o categorizacion biometrica"",""legal_reference"":""Articulo 50.3"",""effective_from"":""2026-08-02""}]",Articulo 50.3,2026-08-02,,true
TRANSPARENCY_50_4_DEEPFAKE,TRANSPARENCY_50_4_DEEPFAKE,EU_AI_ACT_2026_07_27_V0_1,500,"{""all"":[{""path"":""answers.Q015"",""op"":""contains"",""value"":""DEEPFAKE""},{""path"":""answers.Q015"",""op"":""not_contains"",""value"":""EX_AUTHORISED_LAW_ENFORCEMENT""}]}","[{""type"":""add_transparency"",""code"":""ART_50_4_DEEPFAKE"",""title"":""Revelar que el deepfake ha sido generado o manipulado mediante IA"",""legal_reference"":""Articulo 50.4"",""effective_from"":""2026-08-02""}]",Articulo 50.4,2026-08-02,,true
TRANSPARENCY_50_4_TEXT,TRANSPARENCY_50_4_TEXT,EU_AI_ACT_2026_07_27_V0_1,500,"{""all"":[{""path"":""answers.Q015"",""op"":""contains"",""value"":""PUBLIC_INTEREST_TEXT""},{""path"":""answers.Q015"",""op"":""not_contains"",""value"":""EDITORIAL_REVIEW_RESPONSIBILITY""},{""path"":""answers.Q015"",""op"":""not_contains"",""value"":""EX_AUTHORISED_LAW_ENFORCEMENT""}]}","[{""type"":""add_transparency"",""code"":""ART_50_4_TEXT"",""title"":""Revelar que el texto de interes publico ha sido generado o manipulado mediante IA"",""legal_reference"":""Articulo 50.4"",""effective_from"":""2026-08-02""}]",Articulo 50.4,2026-08-02,,true
